,Station Name,Neighbourhood
615,Christie St / Dupont St,Annex 
616,85 Lee Ave,The Beaches 
617,Mutual St / Shuter St (Arena Gardens) - SMART,Church-Yonge Corridor 
0,Beverly  St / Dundas St W,Kensington-Chinatown 
1,Simcoe St / Wellington St W,Bay Street Corridor 
2,University Ave / Gerrard St W,Kensington-Chinatown 
3,Bremner Blvd / Spadina Ave,Waterfront Communities-The Island 
4,Simcoe St / Dundas St W,Kensington-Chinatown 
5,424 Wellington St. W,Waterfront Communities-The Island 
6,Widmer St / Adelaide St ,Waterfront Communities-The Island 
7,Dockside Dr / Queens Quay E (Sugar Beach),Waterfront Communities-The Island 
8,Princess St / Adelaide St,Moss Park 
9,HTO Park (Queen's Quay W),Waterfront Communities-The Island 
10,College St W / Huron St,Kensington-Chinatown 
11,Queens Park / Bloor St W,Bay Street Corridor 
12,Bloor St / Brunswick Ave,Dufferin Grove 
13,Dundas St / Yonge St,Bay Street Corridor 
14,Ontario Place Blvd / Remembrance Dr,Niagara 
15,College St W / Borden St,University 
16,Front St / Bay St (North Side),Bay Street Corridor 
17,Sherbourne St / Wellesley St,North St.James Town 
18,Rusholme Park Cres / College St W,Little Portugal 
19,Fort York  Blvd / Capreol Crt,Waterfront Communities-The Island 
20,College St W / Markham St,Palmerston-Little Italy 
21,University Ave / College St,Bay Street Corridor 
22,College St W / Major St,University 
23,College St W / Crawford St,Trinity-Bellwoods 
24,St George St / Bloor St W,University 
25,Victoria St / Gould St (Ryerson University),Church-Yonge Corridor 
26,Seaton St / Dundas St E,Moss Park 
27,Beverly St / College St W,Kensington-Chinatown 
28,University Ave / King St W,Bay Street Corridor 
29,Bay St / Bloor St W,Bay Street Corridor 
30,Temperance St / Yonge St,Bay Street Corridor 
31,Parliament St / Bloor St E,North St.James Town 
32,Wellesley St E / Yonge St Green P,Bay Street Corridor 
33,Queen St W / Shaw St,Kensington-Chinatown 
34,Spadina Ave / Sussex Ave,University 
35,Front St / Yonge St (Hockey Hall of Fame),Waterfront Communities-The Island 
36,Queen St E / Berkely St,Moss Park 
37,Lower Jarvis St / The Esplanade,Waterfront Communities-The Island 
38,Bathurst St / Queens Quay W,Waterfront Communities-The Island 
39,Bloor GO / UP Station/ Rail Path,Dufferin Grove 
40,Essex St / Christie St,Annex 
41,25 York St (ACC/Union Station South),Waterfront Communities-The Island 
42,Boston Ave / Queen St E,South Parkdale 
43,Woodbine Subway Green P (Cedarvale Ave),Danforth 
44,Castle Frank Station,Cabbagetown-South St.James Town 
45,Margueretta St / College St W,Dufferin Grove 
46,Stephenson Ave / Main St,East End-Danforth 
47,Ossington Ave / College St W,Palmerston-Little Italy 
48,Landsdowne Subway Green P,Dovercourt-Wallace Emerson-Junction 
49,Bay St / Davenport Rd,Annex 
50,Wellesley St E / Yonge St (Green P),Bay Street Corridor 
51,Beverly St / College St,Kensington-Chinatown 
52,Michael Sweet Ave / St. Patrick St,Kensington-Chinatown 
53,Lakeshore Blvd W / Ellis Ave,South Parkdale 
54,Lakeshore Blvd W / The Boulevard Club,South Parkdale 
55,Dovercourt Rd / Harrison St - SMART,Trinity-Bellwoods 
56,Roxton Rd / College St,Trinity-Bellwoods 
57,Lake Shore Blvd W / Ontario Dr(Ontario Place),Niagara 
58,Borden St / Bloor St W - SMART,University 
59,Lansdowne Subway Green P,Dovercourt-Wallace Emerson-Junction 
60,York St / King St W - SMART,Bay Street Corridor 
61,Queen St E / Larchmount Ave,South Riverdale 
62,Margueretta St / College St,Dufferin Grove 
63,Fringe Next Stage - 7219,ernie
64,Summerhill Ave / MacLennan Ave - SMART,Rosedale-Moore Park 
65,Pears Av / Avenue Rd,Annex 
66,St. James Park (King St. E.),Church-Yonge Corridor 
67,Lower Spadina Ave / Lakeshore Blvd,Waterfront Communities-The Island 
68,25 York St   Union Station South,Waterfront Communities-The Island 
69,Ontario Place Blvd / Lakeshore Blvd W,Niagara 
70,Lakeshore Blvd W / Windermere Ave,South Parkdale 
71,Lakeshore Blvd W / Ontario Dr,Niagara 
