,Station Name,Neighbourhood
267,Humber Bay Shores Park East,Mimico 
268,190 Queens Quay E,Waterfront Communities-The Island 
269,Granby St / Church St - SMART,Church-Yonge Corridor 
270,College St / McCaul St,Kensington-Chinatown 
271,Westmoreland Ave / Fernbank Ave,Dovercourt-Wallace Emerson-Junction 
272,Havelock St / Dufferin Park,Dufferin Grove 
273,Bathurst St / Adelaide St W,Niagara 
274,Mill St / Parliament St,Waterfront Communities-The Island 
275,Primrose Ave / Davenport Rd,Dovercourt-Wallace Emerson-Junction 
276,Winona Dr / Davenport Rd,Wychwood 
277,Queen St E / Woodward Ave,Greenwood-Coxwell 
278,Queen St. E / Rhodes Ave.,Greenwood-Coxwell 
279,Sherbourne St / Isabella St,North St.James Town 
280,Amelia St. / Sumach St.,Cabbagetown-South St.James Town 
281,Coxwell Ave /  Lake Shore Blvd E,The Beaches 
282,Queen St. E / Eastern Ave,The Beaches 
283,Queen St E / Hammersmith Ave,The Beaches 
284,Queen St. E / Spruce Hill Rd.,The Beaches 
285,Hubbard Blvd / Balsam Av,The Beaches 
286,Hubbard Blvd. / Glen Manor Dr.,The Beaches 
287,Lake Shore Blvd E / Knox Ave,The Beaches 
288,Front St W / University Ave (1),Bay Street Corridor 
289,Front St W / University Ave (2),Bay Street Corridor 
290,E Liberty St / Western Battery Rd,Niagara 
291,457 King St. W. at Spadina,Waterfront Communities-The Island 
292,King St W / Charlotte St (West Side),Waterfront Communities-The Island 
293,Davenport Rd / Lansdowne Ave,Corso Italia-Davenport 
294,Davenport Rd / Oakwood Rd - SMART,Dovercourt-Wallace Emerson-Junction 
295,Roxborough St W / Yonge St,Annex 
296,Crawford St / Queen St W,Trinity-Bellwoods 
297,Lee Ave / Queen St E,The Beaches 
298,Coxwell Ave / Plains Rd,Old East York 
299,200 Bloor St. E.,Rosedale-Moore Park 
300,King St E / Victoria St,Church-Yonge Corridor 
301,Simcoe St / Wellington St North,Bay Street Corridor 
302,Bay St / Bloor St W (West Side),Bay Street Corridor 
303,Queen St E / Alton Av,South Riverdale 
304,Gerrard Square Mall (1010 Gerrard St E),South Riverdale 
305,Logan Ave / Bain Ave,North Riverdale 
306,Carlaw Ave / Strathcona Ave,North Riverdale 
307,Blake St / Boultbee Ave,Blake-Jones 
308,Eastern Ave / Winnifred Ave,South Riverdale 
309,Morse St / Eastern Ave,South Riverdale 
310,Alton Ave / Dundas St E (Greenwood Park),South Riverdale 
311,Cherry Beach,South Riverdale 
312,Cherry Beach Sports Field (55 Unwin Ave),South Riverdale 
313,Logan Av / Gerrard St E,North Riverdale 
314,Regal Rd / Dufferin St,Corso Italia-Davenport 
315,Pape Ave / Gamble Ave,Broadview North 
316,Gamble Ave / Broadview Ave,Broadview North 
317,Broadview Ave / Westwood Ave,Broadview North 
318,Pretoria Av / Broadview Av,Playter Estates-Danforth 
319,Cosburn Ave / Donlands Ave,Danforth East York 
320,Fulton Ave / Pape Ave,Broadview North 
321,Tommy Thompson Park (Leslie Street Spit),South Riverdale 
322,Beltline Trail / Chaplin Cres.,Forest Hill North 
323,King St E / Ontario St.,Moss Park 
324,Lake Shore Blvd E / Leslie St,South Riverdale 
325,Rosedale Park (20 Schofield Ave),Rosedale-Moore Park 
326,Concord Av / Dewson St,Palmerston-Little Italy 
327,Hocken Ave./Vaughan Rd.,Wychwood 
328,St Clair Ave W / Bathurst St.,Wychwood 
329,Wells Hill Ave / St Clair Ave W,Casa Loma 
330,Queen St E / Nursewood Rd (Neville Park Loop),The Beaches 
331,Kew Beach Ave / Kenilworth Ave,The Beaches 
332,Fort York Blvd / Bathurst St SMART,Waterfront Communities-The Island 
333,Alma Ave / Gladstone Ave SMART,Little Portugal 
334,Lisgar St / Dundas St SMART,Little Portugal 
335,Dupont St / Emerson Ave SMART,Dovercourt-Wallace Emerson-Junction 
336,Eglinton Ave W / Henning Ave SMART,Yonge-Eglinton 
337,Adelaide St W / Portland St,Waterfront Communities-The Island 
338,George St / King St E,Moss Park 
339,Frederick St / The Esplanade,Waterfront Communities-The Island 
340,Front St E / Scott St,Church-Yonge Corridor 
341,Frobisher Ave / Lascelles Blvd,Yonge-Eglinton 
342,Balliol St / Yonge St  SMART,Mount Pleasant West 
343,Yonge St / Davisville Ave,Yonge-Eglinton 
344,Lawton Blvd / Yonge St,Yonge-St.Clair 
345,Erskine Ave / Yonge St SMART,Mount Pleasant West 
346,Yonge St / Orchard View Blvd,Yonge-Eglinton 
347,Simcoe St / Adelaide St W,Bay Street Corridor 
348,12 Harbour St,Waterfront Communities-The Island 
349,Cumberland Ave / Bay St SMART,Annex 
350,20 Charles St E,Church-Yonge Corridor 
351,D'Arcy St. /McCaul St. SMART,Kensington-Chinatown 
352,Mortimer Ave / Carlaw Ave SMART,Broadview North 
353,Broadview Ave / Danforth Ave,Playter Estates-Danforth 
354,College Park- Gerrard Entrance,Bay Street Corridor 
355,Yonge St / Dundas Sq,Church-Yonge Corridor 
356,Woodbine Subway Green P SMART,East End-Danforth 
357,Dentonia Park,Taylor-Massey 
358,York St / Lakeshore St W - South,Waterfront Communities-The Island 
359,Lower Jarvis / Queens Quay E,Waterfront Communities-The Island 
360,Polson Pier,South Riverdale 
361,Lascelles Blvd / Eglinton Ave W,Yonge-Eglinton 
362,Roehampton Ave / Mount Pleasant Rd,Mount Pleasant West 
363,Victoria St / Queen St E,Church-Yonge Corridor 
364,University Ave / Queen St W,Bay Street Corridor 
365,University Ave / Armoury St,Kensington-Chinatown 
366,Isabella St / Church St,Church-Yonge Corridor 
367,Howard St / Rose Ave,North St.James Town 
368,Little Norway Park,Niagara 
369,King St W / Crawford St,Niagara 
370,Dundas St W / Watkinson Ave,Junction Area 
371,Keele St / Annette St,Junction Area 
372,Keele St / Vine Ave,Junction Area 
373,Spadina Ave / Blue Jays Way,Waterfront Communities-The Island 
374,King St W / Jordan St,Bay Street Corridor 
375,College Park - Yonge St Entrance,Bay Street Corridor 
376,Bloor St W / Huron St,University 
377,Barton St / Howland St - SMART,Annex 
378,Tyndall Ave / King St W - SMART,South Parkdale 
379,Merton St / Al Green Ln,Mount Pleasant West 
380,Merton St / Mount Pleasant Rd,Mount Pleasant West 
381,The Queensway at South Kingsway,High Park-Swansea 
382,Fleet St / Garrison Rd (Fort York),Niagara 
383,Northern Dancer Blvd / Lake Shore Blvd E,South Riverdale 
384,Woodbine Ave / Lake Shore Blvd E,South Riverdale 
385,Woodbine Subway Station,Danforth East York 
386,Marilyn Bell Park Tennis Court,South Parkdale 
387,Gerrard St E / Leslie St,South Riverdale 
388,Frederick St / King St E,Moss Park 
389,Dundas St E / Boulton Ave - SMART,South Riverdale 
390,Via Italia / Mackay Ave,Corso Italia-Davenport 
391,Rushton Rd / St Clair Ave W,Wychwood 
392,Concord Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction 
393,High Park Subway,High Park North 
394,Martin Goodman Trail / Ontario Dr,Niagara 
395,Pacific Ave / Glenlake Ave,High Park North 
396,Lonsdale Rd / Spadina Rd,Forest Hill South 
397,Dundas St E / George St,Moss Park 
398,Clendenan Ave / Rowland St - SMART,High Park North 
399,Eastwood Rd / Coxwell Ave,Woodbine Corridor 
400,Orchard Park,Woodbine Corridor 
401,Trent Ave / Danforth Ave,East End-Danforth 
402,Goodwood Park Ct / Dentonia Park,Taylor-Massey 
403,Cosburn Ave / Cedarvale Ave,Woodbine-Lumsden 
404,Carlaw Ave / Danforth Ave,North Riverdale 
405,Western Battery Rd / Pirandello St,Niagara 
406,Bleecker St / St James Ave,North St.James Town 
407,Jarvis St / Maitland Pl,Cabbagetown-South St.James Town 
408,Pottery Rd / Lower Don River Trail,Broadview North 
409,E.T. Seton Park (Eglinton Ave E / Leslie St),Flemingdon Park 
410,Queen's Park Cres W / Hoskin Ave,University 
411,Church St / Lombard St,Church-Yonge Corridor 
412,St Clair Ave W / Winona Ave,Wychwood 
413,High Park Outdoor Pool,High Park-Swansea 
414,High Park Amphitheatre,High Park-Swansea 
415,Richmond St E / Yonge St,Church-Yonge Corridor 
416,Adelaide St W / Brant St,Waterfront Communities-The Island 
417,Russell Hill Rd / St Clair Ave W,Casa Loma 
418,Glendonwynne Ave / Bloor St W,High Park North 
419,Lower Simcoe St / Bremner Blvd,Waterfront Communities-The Island 
420,Front St / Simcoe St,Waterfront Communities-The Island 
421,Wellington St W / York St,Bay Street Corridor 
422,Lake Shore Blvd W / Louisa St,Mimico 
423,Dundas St E / Victoria St,Church-Yonge Corridor 
424,Adelaide St W / Strachan Ave,Niagara 
425,Clarence Square,Waterfront Communities-The Island 
426,Jarvis St / Richmond St E,Moss Park 
427,Symington Ave / Dupont St,Dovercourt-Wallace Emerson-Junction 
428,Antler St / Campbell Ave - SMART,Dovercourt-Wallace Emerson-Junction 
429,Ellis Ave / The Queensway,High Park-Swansea 
430,Jane St / Bloor St W (Jane Subway Station),Lambton Baby Point 
431,Neil McLellan Park,Runnymede-Bloor West Village 
432,Danforth Ave / Sibley Ave,Taylor-Massey 
433,Southwood Dr / Kingston Rd - SMART,The Beaches 
434,Briar Hill Ave / Yonge St - SMART,Yonge-Eglinton 
435,Blythwood Rd / Yonge St - SMART,Mount Pleasant East 
436,Gerrard St E / Ted Reeve Dr,East End-Danforth 
437,Eastwood Rd / Woodbine Ave - SMART,Woodbine Corridor 
438,Summerhill Ave / Maclennan Ave,Rosedale-Moore Park 
439,Sumach St  / Queen St E,Moss Park 
440,D'Arcy St / Spadina Ave - SMART,Kensington-Chinatown 
441,324 Cherry St,Waterfront Communities-The Island 
442,Sackville St / Eastern Ave - SMART,Moss Park 
443,Davenport Rd / McAlpine St - SMART,Annex 
444,Sunnyside Ave / The Queensway - SMART,High Park-Swansea 
445,128 Sterling Ave - SMART,Dufferin Grove 
446,Humberside Grounds - SMART,High Park North 
447,University Ave / College St (East),Bay Street Corridor 
448,Gerrard St E / Malvern Ave - SMART,East End-Danforth 
449,Gerrard St E / Victoria Park Ave - SMART,East End-Danforth 
450,Ontario St / Adelaide St E -SMART,Moss Park 
451,Berkeley St / Adelaide St E - SMART,Moss Park 
452,Berkeley St / Dundas St E - SMART,Moss Park 
453,Ontario St / King St E,Moss Park 
454,Humber Bay Shores Park / Marine Parade Dr,Mimico 
455,Amos Waites Park,Mimico 
456,Superior Ave / Lake Shore Blvd W,Mimico 
457,Ripley Ave / Ormskirk Ave,High Park-Swansea 
458,Lake Shore Blvd W / Colborne Lodge Dr,South Parkdale 
459,406 Oakwood Ave,Oakwood Village 
460,St Clarens Ave / Shirley Ave,Little Portugal 
461,Emerson Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction 
462,Wallace Ave / Pauline Ave,Dovercourt-Wallace Emerson-Junction 
463,Lynn Williams St / East Liberty St - SMART,Niagara 
464,Lisgar Park,Little Portugal 
465,Fennings St / Queen St W,Trinity-Bellwoods 
466,Bartlett Parkette,Dovercourt-Wallace Emerson-Junction 
467,Joseph J Piccininni Community Centre,Corso Italia-Davenport 
468,Spadina Rd / Austin Terrace,Casa Loma 
469,Symington Ave / Davenport Rd,Weston-Pellam Park 
470,Sherbourne St N / Elm Ave,Rosedale-Moore Park 
471,541 Huron St - SMART,Annex 
472,Housey St / Dan Leckie Way,Waterfront Communities-The Island 
473,Walnut Ave / Queen St W,Niagara 
474,Wolsley St / Palmerston Ave - SMART,Trinity-Bellwoods 
475,Palmerston Ave / Dundas St W,Trinity-Bellwoods 
476,Euclid Ave / Herrick St - SMART,Palmerston-Little Italy 
477,Vaughan Rd /Wychwood Ave,Humewood-Cedarvale 
478,Davisville Ave / Pailton Cres,Mount Pleasant West 
479,Alvin Ave / St Clair Ave E,Rosedale-Moore Park 
480,Bellwoods Ave / Treford Pl - SMART,Trinity-Bellwoods 
481,Queen St W / John St,Kensington-Chinatown 
482,Nassau St / Bellevue Ave,Kensington-Chinatown 
483,Foster Pl / Elizabeth St,Bay Street Corridor 
484,Baldwin St / Henry St,Kensington-Chinatown 
485,Ross St / Cecil St - SMART,Kensington-Chinatown 
486,Orde St / McCaul St,Kensington-Chinatown 
487,St Joseph St / Bay St - SMART,Bay Street Corridor 
488,439 Sherbourne St,Cabbagetown-South St.James Town 
489,The Esplanade / Hahn Pl,Waterfront Communities-The Island 
490,Lake Shore Blvd W / Thirty Ninth Street,Long Branch 
491,Lake Shore Blvd W / Twenty Fourth St,Long Branch 
492,Humber College,New Toronto 
493,Royal York Rd / Mimico Ave,Mimico 
494,Windsor St / Newcastle St,Mimico 
495,The Queensway / High St,Stonegate-Queensway 
496,Berry Rd / Bell Manor Dr,Stonegate-Queensway 
