,Station Id,Station Name,Neighbourhood,capacity
40,7040,Euclid Ave / Bloor St W,Annex ,19
41,7041,Edward St / Yonge St,Bay Street Corridor ,23
42,7042,Sherbourne St / Wellesley St E,North St.James Town ,31
43,7043,Queens Quay W / Lower Simcoe St,Waterfront Communities-The Island ,19
44,7044,Church St / Alexander St,Church-Yonge Corridor ,15
45,7045,Bond St / Queen St E,Church-Yonge Corridor ,25
46,7046,Niagara St / Richmond St W,Niagara ,26
47,7047,University Ave / Gerrard St W (East Side),Bay Street Corridor ,25
48,7048,Front St W / Yonge St (Hockey Hall of Fame),Waterfront Communities-The Island ,47
49,7049,Queen St W / Portland St,Waterfront Communities-The Island ,22
50,7050,Richmond St E / Jarvis St Green P,Church-Yonge Corridor ,15
51,7052,Wellington St W / Bay St,Bay Street Corridor ,27
52,7053,Metro Hall Plaza,Waterfront Communities-The Island ,27
53,7054,Navy Wharf Ct. / Bremner Blvd.,Waterfront Communities-The Island ,11
54,7055,Jarvis St / Carlton St,Moss Park ,15
55,7056,Parliament St / Gerrard St,Regent Park ,23
56,7057,Simcoe St / Wellington St South,Bay Street Corridor ,27
57,7058,Huron/ Harbord St,University ,19
58,7059,Front St W / Blue Jays Way,Waterfront Communities-The Island ,15
59,7060,Princess St / Adelaide St E,Moss Park ,19
60,7061,Dalton Rd / Bloor St W,Annex ,15
61,7062,University Ave / College St (West),Kensington-Chinatown ,11
62,7063,Queen's Park / Bloor St W,Bay Street Corridor ,19
63,7064,51 Parliament St,Moss Park ,19
64,7065,Dundas St E / Parliament St,Regent Park ,15
65,7066,Willcocks St / St. George St,University ,17
66,7067,Yonge St / Harbour St,Waterfront Communities-The Island ,38
67,7068,Blantyre Park,Birchcliffe-Cliffside ,22
68,7069,Queen St W / Spadina Ave,Kensington-Chinatown ,11
69,7070,25 York St – Union Station South,Waterfront Communities-The Island ,11
70,7071,161 Bleecker St (South of Wellesley),Cabbagetown-South St.James Town ,23
71,7072,Fleet St / Bathurst St,Niagara ,19
72,7073,Spadina Ave / Fort York Blvd,Waterfront Communities-The Island ,23
73,7074,King St E / Church St,Church-Yonge Corridor ,15
74,7075,Queens Quay W / Dan Leckie Way,Waterfront Communities-The Island ,27
75,7076,York St / Queens Quay W,Waterfront Communities-The Island ,56
76,7077,College Park South,Bay Street Corridor ,19
77,7078,College St / Major St,University ,11
78,7079,McGill St / Church St,Church-Yonge Corridor ,19
79,7083,Danforth Ave / Barrington Ave,East End-Danforth ,15
80,7084,High Park - Grenadier Cafe,High Park-Swansea ,11
81,7085,Danforth Ave / Westlake Ave,East End-Danforth ,15
82,7086,High Park - West Rd,High Park-Swansea ,23
83,7087,Danforth Ave / Aldridge Ave,Woodbine Corridor ,11
84,7088,Danforth Ave / Coxwell Ave,Woodbine Corridor ,15
85,7089,Church St  / Wood St,Church-Yonge Corridor ,19
86,7090,Danforth Ave / Lamb Ave,Greenwood-Coxwell ,19
87,7091,Donlands Station,Danforth ,15
88,7092,Pape Subway Green P,Danforth ,15
89,7093,Danforth Ave / Gough Ave,North Riverdale ,17
90,7094,Chester Station,Playter Estates-Danforth ,17
91,7095,Danforth Ave / Ellerbeck St,Playter Estates-Danforth ,14
92,7096,Lower Don River Trail and Taylor Creek Trail,Old East York ,19
93,7097,Riverdale Park North (Broadview Ave),North Riverdale ,15
94,7098,Riverdale Park South (Broadview Ave),North Riverdale ,15
95,7099,Cherry St / Mill St,Waterfront Communities-The Island ,15
96,7100,Dundas St E / Regent Park Blvd,Regent Park ,19
97,7101,Lower Sherbourne St / The Esplanade,Waterfront Communities-The Island ,27
98,7102,Nelson St / Duncan St,Waterfront Communities-The Island ,31
99,7103,Jimmie Simpson Park (Queen St E),South Riverdale ,15
100,7104,King St E / River St,Moss Park ,15
101,7105,Queen St E / Sackville St,Moss Park ,15
102,7106,Mill St / Tannery Rd,Waterfront Communities-The Island ,39
103,7107,Cherry St / Distillery Ln,Waterfront Communities-The Island ,15
104,7108,Front St E / Cherry St,Waterfront Communities-The Island ,15
105,7109,Seaton St / Dundas St E - SMART,Moss Park ,32
106,7110,Queen St E / Berkeley St,Moss Park ,15
107,7111,King St W / Douro St,Niagara ,11
108,7112,Liberty St / Fraser Ave Green P,South Parkdale ,19
109,7113,Parliament St / Aberdeen Ave,Cabbagetown-South St.James Town ,15
110,7114,Carlton St / Parliament St,Cabbagetown-South St.James Town ,15
111,7115,Howard St / Sherbourne St,North St.James Town ,15
112,7117,640 Bloor Street E,Rosedale-Moore Park ,19
113,7118,King St W / Bay St (East Side),Bay Street Corridor ,19
114,7119,Sumach St / Carlton St. (Riverdale Farm),Cabbagetown-South St.James Town ,15
115,7120,Gerrard St E / River St,Cabbagetown-South St.James Town ,11
116,7121,Jarvis St / Dundas St E,Church-Yonge Corridor ,27
117,7122,Niagara St / Tecumseth St,Niagara ,15
118,7123,424 Wellington St W,Waterfront Communities-The Island ,15
119,7124,Dundas St E / Broadview Ave,South Riverdale ,19
120,7126,Yonge St / Yorkville Ave,Annex ,17
121,7127,Bay St / Scollard St,Annex ,15
122,7128,Yonge St / Aylmer Ave,Rosedale-Moore Park ,15
123,7129,Davenport Rd / Avenue Rd,Annex ,11
124,7130,Davenport Rd / Bedford Rd,Annex ,15
125,7131,Taddle Creek Park,Annex ,15
126,7132,Kendal Ave / Spadina Rd,Annex ,9
127,7133,Summerhill Station,Rosedale-Moore Park ,11
128,7134,Marlborough Ave / Yonge St,Annex ,23
129,7135,Hanna Ave / Liberty St,Niagara ,17
130,7136,Queen St W / Close Ave,South Parkdale ,23
131,7137,Davenport Rd / Bathurst St,Wychwood ,31
132,7138,Davenport Rd / Christie St,Wychwood ,31
133,7139,Glen Edyth Dr / Davenport Rd,Casa Loma ,15
134,7140,Macpherson Ave / Spadina Rd,Casa Loma ,15
135,7141,Bridgeman Ave / Kendal Ave,Casa Loma ,15
136,7142,Bridgeman Ave / Bathurst St,Casa Loma ,15
137,7143,Kendal Ave / Bernard Ave,Annex ,15
138,7144,Palmerston Ave / Vermont Ave,Annex ,15
139,7146,Christie St / Benson Ave (Wychwood Barns),Wychwood ,19
140,7147,King St W / Fraser Ave,South Parkdale ,15
141,7148,King St W / Joe Shuster Way,South Parkdale ,15
142,7149,Yarmouth Rd / Christie St,Annex ,11
143,7150,Dufferin St / Sylvan Av (Dufferin Grove Park),Dufferin Grove ,19
144,7151,Essex St / Christie St - SMART,Annex ,19
145,7152,Ossington Ave / Bloor St W,Palmerston-Little Italy ,11
146,7153,Bloor St W / Christie St,Dovercourt-Wallace Emerson-Junction ,19
147,7154,Bathurst Subway Station,Annex ,23
148,7155,Bathurst St / Lennox St,University ,19
149,7156,Salem Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction ,15
150,7157,Dufferin St / Bloor St,Dovercourt-Wallace Emerson-Junction ,22
151,7158,King St W / Stafford St,Niagara ,15
152,7160,King St W / Tecumseth St,Niagara ,15
153,7161,Beverley St / College St,Kensington-Chinatown ,23
154,7162,Hayter St / Laplante Ave,Bay Street Corridor ,23
155,7163,Yonge St / Wood St,Church-Yonge Corridor ,15
156,7164,Gould St / Yonge St (Ryerson University),Church-Yonge Corridor ,22
157,7167,Queen St E / George St (Moss Park),Moss Park ,17
158,7168,Queens Quay / Yonge St,Waterfront Communities-The Island ,31
159,7169,Front St W / Bay St (North Side),Bay Street Corridor ,11
160,7170,Spadina Ave / Willcocks St,University ,15
161,7171,Ontario Place Blvd / Lake Shore Blvd W (East),Niagara ,27
162,7172,Strachan Ave / Princes' Blvd,Niagara ,19
163,7173,Cariboo St / Rail Path,Dovercourt-Wallace Emerson-Junction ,19
164,7174,Bloor St W / Dundas St W,Roncesvalles ,15
165,7175,HTO Park (Queens Quay W),Waterfront Communities-The Island ,27
166,7176,Bathurst St / Fort York Blvd,Waterfront Communities-The Island ,19
167,7177,East Liberty St / Pirandello St,Niagara ,19
168,7178,Dundas St W / Edna Ave,High Park North ,15
169,7179,Bloor GO / UP Station (West Toronto Railpath),Dovercourt-Wallace Emerson-Junction ,19
170,7180,Lansdowne Subway Station,Dovercourt-Wallace Emerson-Junction ,23
171,7181,Lansdowne Ave / Whytock Ave,Dufferin Grove ,15
172,7182,Sterling Rd / Dundas St W,Dufferin Grove ,19
173,7183,St Clarens Ave / College St,Dufferin Grove ,15
174,7184,Ossington Ave / College St,Palmerston-Little Italy ,11
175,7188,Exhibition GO (Atlantic Ave),Niagara ,23
176,7189,Augusta Ave / Denison Sq,Kensington-Chinatown ,15
177,7190,St. George St / Hoskin Ave,University ,15
178,7191,Central Tech  (Harbord St),University ,11
179,7192,Harbord St / Clinton St,Palmerston-Little Italy ,15
180,7193,Queen St W / Gladstone Ave,Little Portugal ,23
181,7194,Mortimer Ave / Coxwell Ave,Danforth East York ,23
182,7195,Ulster St / Bathurst St,University ,11
183,7196,Roxton Rd / Harbord St,Palmerston-Little Italy ,11
184,7197,Queen St W / Dovercourt Rd,Little Portugal ,11
185,7198,Queen St W / Cowan Ave,South Parkdale ,19
186,7199,College St / Markham St,Palmerston-Little Italy ,19
187,7202,Queen St W / York St (City Hall),Bay Street Corridor ,31
188,7203,Bathurst St/Queens Quay(Billy Bishop Airport),Niagara ,35
189,7204,College St / Crawford St,Trinity-Bellwoods ,19
190,7205,Rusholme Park Cres / College St,Little Portugal ,15
191,7206,Claremont St / Dundas St W,Trinity-Bellwoods ,13
192,7207,Dundas St W / Crawford St,Trinity-Bellwoods ,19
193,7208,80 Clinton St (North of College),Palmerston-Little Italy ,11
194,7209,Ossington Ave / Harrison St,Trinity-Bellwoods ,19
195,7210,Mary McCormick Rec Centre (Sheridan Ave),Little Portugal ,15
196,7211,Fort York Blvd / Garrison Rd,Niagara ,15
197,7216,Wellington St W / Stafford St,Niagara ,23
198,7217,Soho St / Queen St W,Kensington-Chinatown ,19
199,7220,Lake Shore Blvd W / Ellis Ave,South Parkdale ,19
200,7221,High Park Subway Station,High Park North ,19
201,7222,Sunnyside - Gus Ryder Pool,South Parkdale ,27
202,7223,Parkside Dr / Bloor St W - SMART,High Park-Swansea ,12
203,7224,Bloor St W / High Park Ave (High Park),High Park-Swansea ,19
204,7225,Lake Shore Blvd W / Windermere Ave,South Parkdale ,19
205,7226,Lake Shore Blvd W / The Boulevard Club,South Parkdale ,19
206,7227,Martin Goodman Trail (Marilyn Bell Park),South Parkdale ,31
207,7228,Queen St W / Roncesvalles Ave,South Parkdale ,19
208,7229,Dundas St W / Roncesvalles Green P - SMART,Roncesvalles ,12
209,7230,Garden Ave / Roncesvalles Ave,Roncesvalles ,18
210,7231,Wright / Sorauren (Sorauren Park) - SMART,Roncesvalles ,18
211,7232,Queen St W  /  Fuller Ave - SMART,Roncesvalles ,16
212,7233,King / Cowan Ave - SMART,South Parkdale ,16
213,7234,Roncesvalles Ave / Marmaduke St,High Park-Swansea ,19
214,7235,Bay St / College St (West Side) - SMART,Bay Street Corridor ,12
215,7236,Thompson St / Broadview Ave - SMART,South Riverdale ,12
216,7237,Ward Ave / Wallace Ave,Dovercourt-Wallace Emerson-Junction ,15
217,7238,Sorauren/Geoffrey (Sorauren Park) - SMART,Roncesvalles ,16
218,7239,Bloor St W / Manning Ave - SMART,Palmerston-Little Italy ,20
219,7240,Bloor St W / Shaw Ave - SMART,Palmerston-Little Italy ,34
220,7241,519 Church St - SMART,Church-Yonge Corridor ,12
221,7242,Lake Shore Blvd W / Ontario Dr,Niagara ,35
222,7243,Exhibition GO Station,Niagara ,15
223,7244,Dufferin Gate - SMART,Niagara ,16
224,7245,Tecumseth St / Queen St W - SMART,Niagara ,9
225,7246,Yonge St / Bloor St,Church-Yonge Corridor ,14
226,7247,Howard Park Ave / Dundas St W - SMART,Roncesvalles ,12
227,7248,Baldwin Ave / Spadina Ave - SMART,Kensington-Chinatown ,19
228,7249,Dovercourt Rd / Harrison St (Green P) - SMART,Trinity-Bellwoods ,12
229,7250,St. George St / Russell St - SMART,University ,16
230,7251,The Royal Ontario Museum (Bloor St Entrance),Bay Street Corridor ,19
231,7252,Robert St / Bloor St W - SMART,University ,18
232,7253,John St  / Mercer St - SMART,Waterfront Communities-The Island ,12
233,7255,Stewart St / Bathurst St  - SMART,Waterfront Communities-The Island ,16
234,7256,Vanauley St / Queen St W - SMART,Kensington-Chinatown ,9
235,7257,Dundas St W / St. Patrick St,Kensington-Chinatown ,19
236,7258,Queen St E / Rushbrooke Ave,South Riverdale ,15
237,7259,Lower Spadina Ave / Lake Shore Blvd,Waterfront Communities-The Island ,19
238,7260,Spadina Ave / Adelaide St W,Waterfront Communities-The Island ,15
239,7261,Queens Quay E / Lower Sherbourne St,Waterfront Communities-The Island ,26
240,7262,Wychwood Ave / Benson Ave - SMART,Wychwood ,16
241,7263,Walton St / Elizabeth St - SMART,Bay Street Corridor ,20
