,Station Id,Station Name,Neighbourhood,capacity
337,7372,Adelaide St W / Portland St,Waterfront Communities-The Island ,15
338,7373,George St / King St E,Moss Park ,15
339,7374,Frederick St / The Esplanade,Waterfront Communities-The Island ,19
340,7375,Front St E / Scott St,Church-Yonge Corridor ,10
341,7376,Frobisher Ave / Lascelles Blvd,Yonge-Eglinton ,19
342,7377,Balliol St / Yonge St  SMART,Mount Pleasant West ,20
343,7378,Yonge St / Davisville Ave,Yonge-Eglinton ,15
344,7379,Lawton Blvd / Yonge St,Yonge-St.Clair ,15
345,7380,Erskine Ave / Yonge St SMART,Mount Pleasant West ,16
346,7381,Yonge St / Orchard View Blvd,Yonge-Eglinton ,35
347,7382,Simcoe St / Adelaide St W,Bay Street Corridor ,20
348,7383,12 Harbour St,Waterfront Communities-The Island ,15
349,7384,Cumberland Ave / Bay St SMART,Annex ,12
350,7385,20 Charles St E,Church-Yonge Corridor ,22
351,7386,D'Arcy St. /McCaul St. SMART,Kensington-Chinatown ,15
352,7387,Mortimer Ave / Carlaw Ave SMART,Broadview North ,12
353,7388,Broadview Ave / Danforth Ave,Playter Estates-Danforth ,15
354,7389,College Park- Gerrard Entrance,Bay Street Corridor ,25
355,7391,Yonge St / Dundas Sq,Church-Yonge Corridor ,27
356,7392,Woodbine Subway Green P SMART,East End-Danforth ,20
357,7395,Dentonia Park,Taylor-Massey ,23
358,7398,York St / Lakeshore St W - South,Waterfront Communities-The Island ,14
359,7399,Lower Jarvis / Queens Quay E,Waterfront Communities-The Island ,19
360,7400,Polson Pier,South Riverdale ,23
361,7403,Lascelles Blvd / Eglinton Ave W,Yonge-Eglinton ,19
362,7404,Roehampton Ave / Mount Pleasant Rd,Mount Pleasant West ,19
363,7406,Victoria St / Queen St E,Church-Yonge Corridor ,23
364,7407,University Ave / Queen St W,Bay Street Corridor ,23
365,7408,University Ave / Armoury St,Kensington-Chinatown ,23
366,7409,Isabella St / Church St,Church-Yonge Corridor ,19
367,7410,Howard St / Rose Ave,North St.James Town ,19
368,7411,Little Norway Park,Niagara ,23
369,7412,King St W / Crawford St,Niagara ,23
370,7413,Dundas St W / Watkinson Ave,Junction Area ,15
371,7414,Keele St / Annette St,Junction Area ,15
372,7415,Keele St / Vine Ave,Junction Area ,23
373,7416,Spadina Ave / Blue Jays Way,Waterfront Communities-The Island ,31
374,7417,King St W / Jordan St,Bay Street Corridor ,11
375,7418,College Park - Yonge St Entrance,Bay Street Corridor ,25
376,7419,Bloor St W / Huron St,University ,27
377,7420,Barton St / Howland St - SMART,Annex ,19
378,7422,Tyndall Ave / King St W - SMART,South Parkdale ,16
379,7423,Merton St / Al Green Ln,Mount Pleasant West ,23
380,7424,Merton St / Mount Pleasant Rd,Mount Pleasant West ,23
381,7425,The Queensway at South Kingsway,High Park-Swansea ,23
382,7426,Fleet St / Garrison Rd (Fort York),Niagara ,43
383,7427,Northern Dancer Blvd / Lake Shore Blvd E,South Riverdale ,26
384,7428,Woodbine Ave / Lake Shore Blvd E,South Riverdale ,27
385,7429,Woodbine Subway Station,Danforth East York ,15
386,7430,Marilyn Bell Park Tennis Court,South Parkdale ,27
387,7431,Gerrard St E / Leslie St,South Riverdale ,22
388,7432,Frederick St / King St E,Moss Park ,23
389,7433,Dundas St E / Boulton Ave - SMART,South Riverdale ,15
390,7434,Via Italia / Mackay Ave,Corso Italia-Davenport ,16
391,7435,Rushton Rd / St Clair Ave W,Wychwood ,11
392,7437,Concord Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction ,15
393,7438,High Park Subway,High Park North ,15
394,7440,Martin Goodman Trail / Ontario Dr,Niagara ,27
395,7441,Pacific Ave / Glenlake Ave,High Park North ,27
396,7442,Lonsdale Rd / Spadina Rd,Forest Hill South ,15
397,7443,Dundas St E / George St,Moss Park ,25
398,7444,Clendenan Ave / Rowland St - SMART,High Park North ,20
399,7445,Eastwood Rd / Coxwell Ave,Woodbine Corridor ,19
400,7446,Orchard Park,Woodbine Corridor ,19
401,7447,Trent Ave / Danforth Ave,East End-Danforth ,23
402,7448,Goodwood Park Ct / Dentonia Park,Taylor-Massey ,19
403,7449,Cosburn Ave / Cedarvale Ave,Woodbine-Lumsden ,15
404,7450,Carlaw Ave / Danforth Ave,North Riverdale ,15
405,7451,Western Battery Rd / Pirandello St,Niagara ,31
406,7452,Bleecker St / St James Ave,North St.James Town ,20
407,7453,Jarvis St / Maitland Pl,Cabbagetown-South St.James Town ,17
408,7454,Pottery Rd / Lower Don River Trail,Broadview North ,15
409,7455,E.T. Seton Park (Eglinton Ave E / Leslie St),Flemingdon Park ,27
410,7457,Queen's Park Cres W / Hoskin Ave,University ,23
411,7458,Church St / Lombard St,Church-Yonge Corridor ,17
412,7459,St Clair Ave W / Winona Ave,Wychwood ,11
413,7460,High Park Outdoor Pool,High Park-Swansea ,26
414,7461,High Park Amphitheatre,High Park-Swansea ,23
415,7462,Richmond St E / Yonge St,Church-Yonge Corridor ,17
416,7463,Adelaide St W / Brant St,Waterfront Communities-The Island ,17
417,7465,Russell Hill Rd / St Clair Ave W,Casa Loma ,19
418,7466,Glendonwynne Ave / Bloor St W,High Park North ,19
419,7467,Lower Simcoe St / Bremner Blvd,Waterfront Communities-The Island ,14
420,7468,Front St / Simcoe St,Waterfront Communities-The Island ,18
421,7469,Wellington St W / York St,Bay Street Corridor ,23
422,7471,Lake Shore Blvd W / Louisa St,Mimico ,15
423,7472,Dundas St E / Victoria St,Church-Yonge Corridor ,40
424,7473,Adelaide St W / Strachan Ave,Niagara ,15
425,7474,Clarence Square,Waterfront Communities-The Island ,23
426,7475,Jarvis St / Richmond St E,Moss Park ,19
427,7476,Symington Ave / Dupont St,Dovercourt-Wallace Emerson-Junction ,15
428,7477,Antler St / Campbell Ave - SMART,Dovercourt-Wallace Emerson-Junction ,20
429,7478,Ellis Ave / The Queensway,High Park-Swansea ,19
430,7479,Jane St / Bloor St W (Jane Subway Station),Lambton Baby Point ,15
431,7480,Neil McLellan Park,Runnymede-Bloor West Village ,14
432,7482,Danforth Ave / Sibley Ave,Taylor-Massey ,11
433,7483,Southwood Dr / Kingston Rd - SMART,The Beaches ,12
434,7484,Briar Hill Ave / Yonge St - SMART,Yonge-Eglinton ,16
435,7485,Blythwood Rd / Yonge St - SMART,Mount Pleasant East ,12
436,7486,Gerrard St E / Ted Reeve Dr,East End-Danforth ,22
437,7487,Eastwood Rd / Woodbine Ave - SMART,Woodbine Corridor ,14
438,7488,Summerhill Ave / Maclennan Ave,Rosedale-Moore Park ,11
439,7489,Sumach St  / Queen St E,Moss Park ,19
440,7491,D'Arcy St / Spadina Ave - SMART,Kensington-Chinatown ,17
441,7492,324 Cherry St,Waterfront Communities-The Island ,19
442,7493,Sackville St / Eastern Ave - SMART,Moss Park ,12
443,7494,Davenport Rd / McAlpine St - SMART,Annex ,10
444,7496,Sunnyside Ave / The Queensway - SMART,High Park-Swansea ,20
445,7497,128 Sterling Ave - SMART,Dufferin Grove ,20
446,7501,Humberside Grounds - SMART,High Park North ,20
447,7502,University Ave / College St (East),Bay Street Corridor ,14
448,7503,Gerrard St E / Malvern Ave - SMART,East End-Danforth ,20
449,7504,Gerrard St E / Victoria Park Ave - SMART,East End-Danforth ,16
