,Station Id,Station Name,Neighbourhood
184,7197,Queen St W / Dovercourt Rd,Little Portugal 
185,7198,Queen St W / Cowan Ave,South Parkdale 
186,7199,College St / Markham St,Palmerston-Little Italy 
187,7202,Queen St W / York St (City Hall),Bay Street Corridor 
188,7203,Bathurst St/Queens Quay(Billy Bishop Airport),Niagara 
189,7204,College St / Crawford St,Trinity-Bellwoods 
190,7205,Rusholme Park Cres / College St,Little Portugal 
191,7206,Claremont St / Dundas St W,Trinity-Bellwoods 
192,7207,Dundas St W / Crawford St,Trinity-Bellwoods 
193,7208,80 Clinton St (North of College),Palmerston-Little Italy 
194,7209,Ossington Ave / Harrison St,Trinity-Bellwoods 
195,7210,Mary McCormick Rec Centre (Sheridan Ave),Little Portugal 
196,7211,Fort York Blvd / Garrison Rd,Niagara 
197,7216,Wellington St W / Stafford St,Niagara 
198,7217,Soho St / Queen St W,Kensington-Chinatown 
199,7220,Lake Shore Blvd W / Ellis Ave,South Parkdale 
200,7221,High Park Subway Station,High Park North 
201,7222,Sunnyside - Gus Ryder Pool,South Parkdale 
202,7223,Parkside Dr / Bloor St W - SMART,High Park-Swansea 
203,7224,Bloor St W / High Park Ave (High Park),High Park-Swansea 
204,7225,Lake Shore Blvd W / Windermere Ave,South Parkdale 
205,7226,Lake Shore Blvd W / The Boulevard Club,South Parkdale 
206,7227,Martin Goodman Trail (Marilyn Bell Park),South Parkdale 
207,7228,Queen St W / Roncesvalles Ave,South Parkdale 
208,7229,Dundas St W / Roncesvalles Green P - SMART,Roncesvalles 
209,7230,Garden Ave / Roncesvalles Ave,Roncesvalles 
210,7231,Wright / Sorauren (Sorauren Park) - SMART,Roncesvalles 
211,7232,Queen St W  /  Fuller Ave - SMART,Roncesvalles 
212,7233,King / Cowan Ave - SMART,South Parkdale 
213,7234,Roncesvalles Ave / Marmaduke St,High Park-Swansea 
214,7235,Bay St / College St (West Side) - SMART,Bay Street Corridor 
215,7236,Thompson St / Broadview Ave - SMART,South Riverdale 
216,7237,Ward Ave / Wallace Ave,Dovercourt-Wallace Emerson-Junction 
217,7238,Sorauren/Geoffrey (Sorauren Park) - SMART,Roncesvalles 
218,7239,Bloor St W / Manning Ave - SMART,Palmerston-Little Italy 
219,7240,Bloor St W / Shaw Ave - SMART,Palmerston-Little Italy 
220,7241,519 Church St - SMART,Church-Yonge Corridor 
221,7242,Lake Shore Blvd W / Ontario Dr,Niagara 
222,7243,Exhibition GO Station,Niagara 
223,7244,Dufferin Gate - SMART,Niagara 
224,7245,Tecumseth St / Queen St W - SMART,Niagara 
225,7246,Yonge St / Bloor St,Church-Yonge Corridor 
226,7247,Howard Park Ave / Dundas St W - SMART,Roncesvalles 
227,7248,Baldwin Ave / Spadina Ave - SMART,Kensington-Chinatown 
228,7249,Dovercourt Rd / Harrison St (Green P) - SMART,Trinity-Bellwoods 
229,7250,St. George St / Russell St - SMART,University 
230,7251,The Royal Ontario Museum (Bloor St Entrance),Bay Street Corridor 
231,7252,Robert St / Bloor St W - SMART,University 
232,7253,John St  / Mercer St - SMART,Waterfront Communities-The Island 
233,7255,Stewart St / Bathurst St  - SMART,Waterfront Communities-The Island 
234,7256,Vanauley St / Queen St W - SMART,Kensington-Chinatown 
235,7257,Dundas St W / St. Patrick St,Kensington-Chinatown 
236,7258,Queen St E / Rushbrooke Ave,South Riverdale 
237,7259,Lower Spadina Ave / Lake Shore Blvd,Waterfront Communities-The Island 
238,7260,Spadina Ave / Adelaide St W,Waterfront Communities-The Island 
239,7261,Queens Quay E / Lower Sherbourne St,Waterfront Communities-The Island 
240,7262,Wychwood Ave / Benson Ave - SMART,Wychwood 
241,7263,Walton St / Elizabeth St - SMART,Bay Street Corridor 
242,7264,Bloor St E / Huntley St - SMART,North St.James Town 
243,7265,Wallace Ave / Symington Ave - SMART,Dovercourt-Wallace Emerson-Junction 
244,7266,Victoria Park Subway Station - SMART,Oakridge 
245,7267,Dundas St E / Pembroke St - SMART,Moss Park 
246,7268,111 Bond St (North of Dundas St E)  - SMART,Church-Yonge Corridor 
247,7269,Toronto Eaton Centre (Yonge St),Bay Street Corridor 
248,7270,Church St / Dundas St E - SMART,Church-Yonge Corridor 
249,7271,Yonge St / Alexander St - SMART,Church-Yonge Corridor 
250,7272,Yonge St / Dundonald St - SMART,Church-Yonge Corridor 
251,7273,Bay St / Charles St - SMART,Bay Street Corridor 
252,7274,Queen's Park Cres E / Grosvenor St - SMART,Bay Street Corridor 
253,7275,Queen St W / James St,Bay Street Corridor 
254,7276,Bloor St W / Balmuto St,Bay Street Corridor 
255,7277,Chorley Park - SMART,Rosedale-Moore Park 
256,7278,Mallon Ave / Jones Ave -SMART,South Riverdale 
257,7279,Rosehill Ave / Avoca Ave - SMART,Rosedale-Moore Park 
258,7280,Charles St E / Jarvis St - SMART,Church-Yonge Corridor 
259,7281,Charles St W / Balmuto St - SMART,Bay Street Corridor 
260,7282,Adelaide St W / Bay St - SMART,Bay Street Corridor 
261,7283,Front St W / Bay St (South Side),Waterfront Communities-The Island 
262,7284,University Ave / King St W - SMART,Bay Street Corridor 
263,7285,Spadina Ave / Harbord St - SMART,University 
264,7286,Gerrard St E / Broadview - SMART,North Riverdale 
265,7287,Queen St E / Pape Ave - SMART,South Riverdale 
266,7288,Humber Bay Shores Park West,Mimico 
267,7289,Humber Bay Shores Park East,Mimico 
268,7291,190 Queens Quay E,Waterfront Communities-The Island 
269,7292,Granby St / Church St - SMART,Church-Yonge Corridor 
270,7293,College St / McCaul St,Kensington-Chinatown 
271,7296,Westmoreland Ave / Fernbank Ave,Dovercourt-Wallace Emerson-Junction 
272,7297,Havelock St / Dufferin Park,Dufferin Grove 
273,7298,Bathurst St / Adelaide St W,Niagara 
274,7299,Mill St / Parliament St,Waterfront Communities-The Island 
275,7301,Primrose Ave / Davenport Rd,Dovercourt-Wallace Emerson-Junction 
276,7302,Winona Dr / Davenport Rd,Wychwood 
277,7303,Queen St E / Woodward Ave,Greenwood-Coxwell 
278,7309,Queen St. E / Rhodes Ave.,Greenwood-Coxwell 
279,7311,Sherbourne St / Isabella St,North St.James Town 
280,7312,Amelia St. / Sumach St.,Cabbagetown-South St.James Town 
281,7313,Coxwell Ave /  Lake Shore Blvd E,The Beaches 
