,Station Id,Station Name,Neighbourhood
524,7588,G Ross Lord Park,Bathurst Manor 
525,7589,Torresdale Ave / Antibes Dr,Westminster-Branson 
526,7590,Esther Shiner Stadium,Westminster-Branson 
527,7591,Elwood Blvd / Avenue Rd,Yonge-Eglinton 
528,7593,Roehampton St / Bayview Ave,Mount Pleasant East 
529,7594,Fleming Cres / Bayview Ave,Leaside-Bennington 
530,7595,Moore Park,Rosedale-Moore Park 
531,7596,Langford Ave / Danforth Ave - SMART,Danforth 
532,7597,Yonge St / Golfdale Rd,Lawrence Park North 
533,7598,Teddington Park Ave,Lawrence Park North 
534,7599,Richmond St W / York St,Bay Street Corridor 
535,7600,Russell St / Huron St - SMART,University 
536,7601,Brick Works,Leaside-Bennington 
537,7602,Woodbine Ave / O'Connor Dr,Old East York 
538,7603,O'Connor Dr / Curity Ave - SMART,O'Connor-Parkview 
539,7604,St Columba Pl / St Clair Ave E,O'Connor-Parkview 
540,7605,Lumsden Ave / Eastdale Ave,Taylor-Massey 
541,7606,Dawes Rd / Taylor Creek Trl,O'Connor-Parkview 
542,7607,Fairmount Park,Woodbine Corridor 
543,7608,Wilket Creek Park,Leaside-Bennington 
544,7609,Sunnybrook Park,Bridle Path-Sunnybrook-York Mills 
545,7610,Kingston Rd / Beech Ave,The Beaches 
546,7611,Victoria Park Ave / Danforth Ave,Taylor-Massey 
547,7612,Livingston Rd / Guildwood Pkwy,Guildwood 
548,7613,Livingston Rd (Highland Creek Trail),West Hill 
549,7614,Morningside Park (Highland Creek Trail),Morningside 
550,7615,Colonel Danforth Park,West Hill 
551,7616,Waterfront Trail (Rouge Hill),Rouge 
552,7617,Starspray Ave / Lawrence Ave E,Rouge 
553,7618,Vaughan Rd / Oakwood Ave,Oakwood Village 
554,7619,Braemar Ave / Eglinton Ave W,Yonge-Eglinton 
555,7620,Eglinton Ave E / Redpath Ave,Mount Pleasant West 
556,7621,Long Branch GO Station,Long Branch 
557,7622,Marie Curtis Park,Long Branch 
558,7623,Royal York Rd / Lake Shore Blvd W,Mimico 
559,7624,Guildwood GO Station (South),Guildwood 
560,7625,Yonge St / Lawrence Ave,Lawrence Park North 
561,7626,Rouge Hill GO Station,Rouge 
562,7627,Shaw St / Essex St - SMART,Dovercourt-Wallace Emerson-Junction 
563,7629,Lundy Ave / Etienne Brule Park,Lambton Baby Point 
564,7630,Twelfth St / Thirteenth St,New Toronto 
565,7631,Florence Gell Park,Lambton Baby Point 
566,7632,Chiltern Hill Rd / Eglinton Ave W,Humewood-Cedarvale 
567,7633,Noble St / Queen St W,Roncesvalles 
568,7634,University Ave / Gerrard St W (WEST) - SMART,Kensington-Chinatown 
569,7635,Runnymede Rd / Annette St,Runnymede-Bloor West Village 
570,7636,Bloor St W / Riverside Ave,High Park-Swansea 
571,7637,Judson St / Royal York,Mimico 
572,7639,135 Queens Wharf  - SMART,Waterfront Communities-The Island 
573,7640,Spadina Rd / St.Clair Ave West,Casa Loma 
574,7641,Annette St / Dundas W,Junction Area 
575,7642,Yonge St / St Clair Ave,Rosedale-Moore Park 
576,7643,Oriole Pkwy / Kilbarry Rd,Forest Hill South 
577,7644,East Lynn Ave / Danforth Ave,Woodbine Corridor 
578,7645,University of Toronto Scarborough,Highland Creek 
579,7646,University Ave / Richmond St W,Bay Street Corridor 
580,7647,Elm St/ University Ave (East Side),Bay Street Corridor 
581,7648,909 Yonge St,Rosedale-Moore Park 
582,7650,St Clair W Subway - Heath Entrance,Forest Hill South 
583,7653,Bloor St W / Indian Rd,High Park North 
584,7654,Bloor St W / Pacific Ave,High Park North 
585,7655,Danforth Ave / Dewhurst Blvd,Danforth 
586,7656,Bloor St W / Brock Ave,Dufferin Grove 
587,7657,1 Market St - SMART,Waterfront Communities-The Island 
588,7658,Kings Mill Park,Kingsway South 
589,7659,Amroth Ave / Danforth Ave,East End-Danforth 
590,7660,285 Victoria St,Church-Yonge Corridor 
591,7662,Beaty Ave / Queen St W,South Parkdale 
592,7663,Kilgour Rd / Rumsey Rd,Bridle Path-Sunnybrook-York Mills 
593,7664,Sunnybrook Health Centre - L Wing,Bridle Path-Sunnybrook-York Mills 
594,7665,Sunnybrook Health Centre - S Wing,Bridle Path-Sunnybrook-York Mills 
595,7666,Dundas St W / St Helen Ave - SMART,Dufferin Grove 
596,7667,Spadina Ave / Sussex Ave - SMART,University 
597,7668,Simcoe St / Dundas St W - SMART,Kensington-Chinatown 
598,7670,Yonge St / Woburn Ave - SMART,Lawrence Park North 
599,7671,Yonge St / Montgomery Ave - SMART,Yonge-Eglinton 
600,7675,1525 Dundas St,Little Portugal 
601,7676,York University (Glendon Campus) - SMART,Bridle Path-Sunnybrook-York Mills 
602,7677,1303 Yonge St - SMART,Rosedale-Moore Park 
603,7678,York University Station (South) - SMART,York University Heights 
604,7679,York University Station (North),York University Heights 
605,7680,Princes Gate / Nunavut Dr,Niagara 
606,7681,25 Booth Ave,South Riverdale 
607,7682,Bathurst St / Front St W,Waterfront Communities-The Island 
608,7683,Bay St / Harbour St (West),Waterfront Communities-The Island 
609,7684,Bay St / Harbour St (East),Waterfront Communities-The Island 
610,7685,King / Brant,Waterfront Communities-The Island 
611,7686,Lower Jarvis / The Esplanade,Waterfront Communities-The Island 
612,7687,Bloor / Gladstone - SMART,Dovercourt-Wallace Emerson-Junction 
613,7688,High Park Blvd / Parkside Dr,High Park-Swansea 
614,7689,20 Eaton,Danforth 
615,7691,Christie St / Dupont St,Annex 
616,7692,85 Lee Ave,The Beaches 
617,7693,Mutual St / Shuter St (Arena Gardens) - SMART,Church-Yonge Corridor 
